Отчетный период;Федеральный округ РФ;Субъект РФ;Показатель;Мера измерения;Значение
Февраль 25;Сибирский ФО;Красноярский край;Доля людей, питающихся в столовой;%;73
Январь 25;Уральский ФО;Челябинская обл.;Доход банка;Руб.;17324.3
Март 25;Уральский ФО;Тюменская обл.;Объем транзакций;Руб.;729158.9
Февраль 25;Северо-Западный ФО;Архангельская обл.;Доход банка;Руб.;39936.6
Май 25;Центральный ФО;Московская обл.;Средний тариф банка;%;3.1
Март 25;Северо-Западный ФО;Ленинградская обл.;Доход банка;Руб.;38511.4
Май 25;Приволжский ФО;Республика Татарстан;Общее количество людей в ВУЗе;Кл.;9783
Апрель 25;Сибирский ФО;Новосибирская обл.;Студенты;Кл.;2987
Апрель 25;Уральский ФО;Челябинская обл.;Средняя стоимость обеда;Руб.;312.0
Апрель 25;Уральский ФО;Тюменская обл.;Доход банка;Руб.;55906.3
Апрель 25;Центральный ФО;Московская обл.;Средняя стоимость обеда;Руб.;292.5
Апрель 25;Центральный ФО;г. Москва;Объем транзакций;Руб.;869271.0
Май 25;Центральный ФО;Тверская обл.;Количество клиентов;Кл.;1380
Март 25;Сибирский ФО;Красноярский край;Объем транзакций;Руб.;608141.2
Май 25;Центральный ФО;Тверская обл.;Средняя стоимость обеда;Руб.;324.0
Март 25;Уральский ФО;Челябинская обл.;Доля людей, питающихся в столовой;%;83
Февраль 25;Сибирский ФО;Красноярский край;Средний тариф банка;%;5.2
Апрель 25;Сибирский ФО;Новосибирская обл.;Количество клиентов;Кл.;4318
Январь 25;Центральный ФО;Московская обл.;Студенты;Кл.;1768
Январь 25;Приволжский ФО;Нижегородская обл.;Доля людей, питающихся в столовой;%;75
Январь 25;Сибирский ФО;Красноярский край;Студенты;Кл.;4914
Март 25;Центральный ФО;Тверская обл.;Общее количество людей в ВУЗе;Кл.;2081
Февраль 25;Центральный ФО;г. Москва;Студенты;Кл.;6397
Март 25;Уральский ФО;Челябинская обл.;Средний тариф банка;%;9.6
Январь 25;Северо-Западный ФО;Архангельская обл.;Административный персонал;Кл.;428
Май 25;Приволжский ФО;Республика Татарстан;Административный персонал;Кл.;93
Май 25;Северо-Западный ФО;Архангельская обл.;Доля людей, питающихся в столовой;%;73
